threshold,fp,fn,cost,C_FP,C_FN
0.0,847.0,0.0,847.0,1.0,5.0
0.05,174.0,9.0,219.0,1.0,5.0
0.1,108.0,11.0,163.0,1.0,5.0
0.15000000000000002,69.0,14.0,139.0,1.0,5.0
0.2,48.0,16.0,128.0,1.0,5.0
0.25,39.0,18.0,129.0,1.0,5.0
0.30000000000000004,30.0,19.0,125.0,1.0,5.0
0.35000000000000003,29.0,21.0,134.0,1.0,5.0
0.4,24.0,23.0,139.0,1.0,5.0
0.45,21.0,29.0,166.0,1.0,5.0
0.5,13.0,33.0,178.0,1.0,5.0
0.55,11.0,34.0,181.0,1.0,5.0
0.6000000000000001,8.0,38.0,198.0,1.0,5.0
0.65,6.0,44.0,226.0,1.0,5.0
0.7000000000000001,3.0,45.0,228.0,1.0,5.0
0.75,1.0,50.0,251.0,1.0,5.0
0.8,1.0,54.0,271.0,1.0,5.0
0.8500000000000001,0.0,63.0,315.0,1.0,5.0
0.9,0.0,76.0,380.0,1.0,5.0
0.9500000000000001,0.0,93.0,465.0,1.0,5.0
1.0,0.0,153.0,765.0,1.0,5.0
