param_C,param_gamma,mean_test_score,std_test_score
0.1,0.001,0.6133333333333334,0.03858612300930073
0.1,0.01,0.6466666666666666,0.04136557881996952
0.1,0.1,0.8133333333333332,0.10187137859957417
0.1,1.0,1.0,0.0
0.1,10.0,0.9966666666666667,0.006666666666666687
1.0,0.001,0.6133333333333334,0.03858612300930073
1.0,0.01,0.6466666666666666,0.04136557881996952
1.0,0.1,1.0,0.0
1.0,1.0,1.0,0.0
1.0,10.0,1.0,0.0
10.0,0.001,0.6133333333333334,0.03858612300930073
10.0,0.01,0.6566666666666666,0.022607766610417544
10.0,0.1,1.0,0.0
10.0,1.0,1.0,0.0
10.0,10.0,1.0,0.0
100.0,0.001,0.6133333333333334,0.03858612300930073
100.0,0.01,0.9966666666666667,0.006666666666666687
100.0,0.1,1.0,0.0
100.0,1.0,1.0,0.0
100.0,10.0,1.0,0.0
